"","X","gene_id1","gene_name1","entry1","uid1","seq1_len","organism1","bit1","Neff1","NeffL1","aln1","gene_id2","gene_name2","entry2","uid2","seq2_len","organism2","bit2","Neff2","NeffL2","aln2","prefix","r_start_1","r_end_1","r_start_2","r_end_2","shared_domain","uid1_Pfam_domain","uid2_Pfam_domain","test","string","test2","pairwise_identity","X3d","complex_3d","3d","ecs_complete","ecs_anomaly"
"3551",1352651,"ENSG00000122203","KIAA1191","Q96A73","P33MX_HUMAN",305,"Homo sapiens (Human)",0.2,61.8,0.202622950819672,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/P33MX_HUMAN_1-305_b0.2/align/P33MX_HUMAN_1-305_b0.2","ENSG00000126267","COX6B1","P14854","CX6B1_HUMAN",86,"Homo sapiens (Human)",0.2,1468.4,17.0744186046512,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CX6B1_HUMAN_1-86_b0.2/align/CX6B1_HUMAN_1-86_b0.2","sepmito_01352651",1,305,1,86,NA,"PF15302;","PF02297;","Q96A73 P14854",0,"P14854 Q96A73",7.9,NA,NA,NA,"Complete"," "
"3149",673489,"ENSG00000037474","NSUN2","Q08J23","NSUN2_HUMAN",767,"Homo sapiens (Human)",0.2,918.9,1.1980443285528,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NSUN2_HUMAN_1-767.0_b0.2/align/NSUN2_HUMAN_1-767.0_b0.2","ENSG00000182154","MRPL41","Q8IXM3","RM41_HUMAN",137,"Homo sapiens (Human)",0.2,394,2.87591240875912,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RM41_HUMAN_1-137_b0.2/align/RM41_HUMAN_1-137_b0.2","sepmito_00673489",1,767,1,137,NA,"PF01189;","PF09809;","Q08J23 Q8IXM3",0,"Q8IXM3 Q08J23",7.3,NA,NA,NA,"Complete"," "
"1378",1046450,"ENSG00000130816","DNMT1","P26358","DNMT1_HUMAN",1616,"Homo sapiens (Human)",0.2,253.7,0.156992574257426,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/DNMT1_HUMAN_1-1616_b0.2/align/DNMT1_HUMAN_1-1616_b0.2","ENSG00000176171","BNIP3","Q12983","BNIP3_HUMAN",259,"Homo sapiens (Human)",0.2,131.3,0.506949806949807,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/BNIP3_HUMAN_1-259_b0.2/align/BNIP3_HUMAN_1-259_b0.2","sepmito_01046450",1,1616,1,259,NA,"PF01426;PF06464;PF00145;PF12047;PF02008;","PF06553;","P26358 Q12983",0,"Q12983 P26358",6.4,NA,NA,NA,"Complete"," "
"3213",185263,"ENSG00000085760","MTIF2","P46199","IF2M_HUMAN",727,"Homo sapiens (Human)",0.2,7342.9,10.1002751031637,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/IF2M_HUMAN_1-727_b0.2/align/IF2M_HUMAN_1-727_b0.2","ENSG00000159199","ATP5MC1","P05496","AT5G1_HUMAN",136,"Homo sapiens (Human)",0.2,2548.1,18.7360294117647,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/AT5G1_HUMAN_1-136_b0.2/align/AT5G1_HUMAN_1-136_b0.2","sepmito_00185263",1,727,1,136,NA,"PF00009;PF11987;","PF00137;","P46199 P05496",0,"P05496 P46199",5.9,NA,NA,NA,"Complete"," "
"889",1132067,"ENSG00000160691","SHC1","P29353","SHC1_HUMAN",583,"Homo sapiens (Human)",0.2,192.3,0.329845626072041,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SHC1_HUMAN_1-583_b0.2/align/SHC1_HUMAN_1-583_b0.2","ENSG00000109846","CRYAB","P02511","CRYAB_HUMAN",175,"Homo sapiens (Human)",0.4,1833.6,10.4777142857143,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CRYAB_HUMAN_1-175_b0.4/align/CRYAB_HUMAN_1-175_b0.4","sepmito_01132067",1,583,1,175,NA,"PF00640;PF00017;","PF00525;PF00011;","P29353 P02511",0,"P02511 P29353",9.4,NA,NA,NA,"Complete"," "
"397",420040,"ENSG00000124207","CSE1L","P55060","XPO2_HUMAN",971,"Homo sapiens (Human)",0.2,2435.7,2.50844490216272,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/XPO2_HUMAN_1-971_b0.2/align/XPO2_HUMAN_1-971_b0.2","ENSG00000166794","PPIB","P23284","PPIB_HUMAN",216,"Homo sapiens (Human)",0.2,18561,85.9305555555556,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/PPIB_HUMAN_1-216_b0.2/align/PPIB_HUMAN_1-216_b0.2","sepmito_00420040",1,971,1,216,NA,"PF03378;PF08506;PF03810;","PF00160;","P55060 P23284",0,"P23284 P55060",7.2,NA,NA,NA,"Complete"," "
"822",404242,"ENSG00000111843","TMEM14C","Q9P0S9","TM14C_HUMAN",112,"Homo sapiens (Human)",0.2,2552.2,22.7875,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/TM14C_HUMAN_1-112_b0.2/align/TM14C_HUMAN_1-112_b0.2","ENSG00000147576","ADHFE1","Q8IWW8","HOT_HUMAN",467,"Homo sapiens (Human)",0.2,17164.6,36.7550321199143,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/HOT_HUMAN_1-467_b0.2/align/HOT_HUMAN_1-467_b0.2","sepmito_00404242",1,112,1,467,NA,"PF03647;","PF00465;","Q9P0S9 Q8IWW8",0,"Q8IWW8 Q9P0S9",8.3,NA,NA,NA,"Complete"," "
"256",1321190,"ENSG00000188554","NBR1","Q14596","NBR1_HUMAN",966,"Homo sapiens (Human)",0.2,83.9,0.0868530020703934,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NBR1_HUMAN_1-966_b0.2/align/NBR1_HUMAN_1-966_b0.2","ENSG00000141437","SLC25A52","Q3SY17","S2552_HUMAN",297,"Homo sapiens (Human)",0.2,17335.3,58.3680134680135,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/S2552_HUMAN_1-297_b0.2/align/S2552_HUMAN_1-297_b0.2","sepmito_01321190",1,966,1,297,NA,"PF16158;PF00564;PF00569;","PF00153;","Q14596 Q3SY17",0,"Q3SY17 Q14596",8.6,NA,NA,NA,"Complete"," "
"3101",24305,"ENSG00000181873","IBA57","Q5T440","CAF17_HUMAN",356,"Homo sapiens (Human)",0.2,20360.9,57.1935393258427,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CAF17_HUMAN_1-356_b0.2/align/CAF17_HUMAN_1-356_b0.2","ENSG00000170634","ACYP2","P14621","ACYP2_HUMAN",99,"Homo sapiens (Human)",0.6,9783.2,98.820202020202,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ACYP2_HUMAN_1-99_b0.6/align/ACYP2_HUMAN_1-99_b0.6","sepmito_00024305",1,356,1,99,NA,NA,"PF00708;","Q5T440 P14621",0,"P14621 Q5T440",7,NA,NA,NA,"Complete"," "
"3931",964297,"ENSG00000182774","RPS17","P08708","RS17_HUMAN",135,"Homo sapiens (Human)",0.3,360,2.66666666666667,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RS17_HUMAN_1-135_b0.3/align/RS17_HUMAN_1-135_b0.3","ENSG00000047230","CTPS2","Q9NRF8","PYRG2_HUMAN",586,"Homo sapiens (Human)",0.2,4906.8,8.37337883959044,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/PYRG2_HUMAN_1-586_b0.2/align/PYRG2_HUMAN_1-586_b0.2","sepmito_00964297",1,135,1,586,NA,"PF00833;","PF06418;PF00117;","P08708 Q9NRF8",0,"Q9NRF8 P08708",6,NA,NA,NA,"Complete"," "
"2348",693979,"ENSG00000135828","RNASEL","Q05823","RN5A_HUMAN",741,"Homo sapiens (Human)",0.2,842,1.13630229419703,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RN5A_HUMAN_1-741_b0.2/align/RN5A_HUMAN_1-741_b0.2","ENSG00000142168","SOD1","P00441","SODC_HUMAN",154,"Homo sapiens (Human)",0.2,5769.2,37.4623376623377,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SODC_HUMAN_1-154_b0.2/align/SODC_HUMAN_1-154_b0.2","sepmito_00693979",1,741,1,154,NA,"PF12796;PF00069;PF06479;","PF00080;","Q05823 P00441",0,"P00441 Q05823",7.3,NA,NA,NA,"Complete"," "
"3733",991202,"ENSG00000256053","COA8","Q96IL0","COA8_HUMAN",206,"Homo sapiens (Human)",0.2,324.3,1.57427184466019,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/COA8_HUMAN_1-206_b0.2/align/COA8_HUMAN_1-206_b0.2","ENSG00000175198","PCCA","P05165","PCCA_HUMAN",728,"Homo sapiens (Human)",0.2,11062.7,15.1960164835165,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/PCCA_HUMAN_1-728_b0.2/align/PCCA_HUMAN_1-728_b0.2","sepmito_00991202",1,206,1,728,NA,"PF10231;","PF02785;PF00289;PF00364;PF02786;PF18140;","Q96IL0 P05165",0,"P05165 Q96IL0",9.3,NA,NA,NA,"Complete"," "
"2315",957582,"ENSG00000242114","MTFP1","Q9UDX5","MTFP1_HUMAN",166,"Homo sapiens (Human)",0.2,364.5,2.19578313253012,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MTFP1_HUMAN_1-166_b0.2/align/MTFP1_HUMAN_1-166_b0.2","ENSG00000111058","ACSS3","Q9H6R3","ACSS3_HUMAN",686,"Homo sapiens (Human)",0.5,14569.3,21.2380466472303,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ACSS3_HUMAN_1-686_b0.5/align/ACSS3_HUMAN_1-686_b0.5","sepmito_00957582",1,166,1,686,NA,"PF10558;","PF16177;PF00501;PF13193;","Q9UDX5 Q9H6R3",0,"Q9H6R3 Q9UDX5",9.3,NA,NA,NA,"Complete"," "
"2127",1272469,"ENSG00000140521","POLG","P54098","DPOG1_HUMAN",1239,"Homo sapiens (Human)",0.3,106.4,0.0858757062146893,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/DPOG1_HUMAN_1-1239_b0.3/align/DPOG1_HUMAN_1-1239_b0.3","ENSG00000167112","TRUB2","O95900","TRUB2_HUMAN",331,"Homo sapiens (Human)",0.2,9612.8,29.0416918429003,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/TRUB2_HUMAN_1-331_b0.2/align/TRUB2_HUMAN_1-331_b0.2","sepmito_01272469",1,1239,1,331,NA,"PF00476;PF18136;","PF01509;","P54098 O95900",0,"O95900 P54098",9.4,NA,NA,NA,"Complete"," "
"176",1322178,"ENSG00000188554","NBR1","Q14596","NBR1_HUMAN",966,"Homo sapiens (Human)",0.2,83.9,0.0868530020703934,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NBR1_HUMAN_1-966_b0.2/align/NBR1_HUMAN_1-966_b0.2","ENSG00000164405","UQCRQ","O14949","QCR8_HUMAN",82,"Homo sapiens (Human)",0.2,731,8.91463414634146,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/QCR8_HUMAN_1-82_b0.2/align/QCR8_HUMAN_1-82_b0.2","sepmito_01322178",1,966,1,82,NA,"PF16158;PF00564;PF00569;","PF02939;","Q14596 O14949",0,"O14949 Q14596",3.4,NA,NA,NA,"Complete"," "
"3760",531733,"ENSG00000119927","GPAM","Q9HCL2","GPAT1_HUMAN",828,"Homo sapiens (Human)",0.2,1535,1.85386473429952,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/GPAT1_HUMAN_1-828_b0.2/align/GPAT1_HUMAN_1-828_b0.2","ENSG00000181610","MRPS23","Q9Y3D9","RT23_HUMAN",190,"Homo sapiens (Human)",0.2,631.6,3.32421052631579,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RT23_HUMAN_1-190_b0.2/align/RT23_HUMAN_1-190_b0.2","sepmito_00531733",1,828,1,190,NA,"PF01553;","PF10484;","Q9HCL2 Q9Y3D9",0,"Q9Y3D9 Q9HCL2",7.2,NA,NA,NA,"Complete"," "
"3687",1042570,"ENSG00000077157","PPP1R12B","O60237","MYPT2_HUMAN",982,"Homo sapiens (Human)",0.2,254.3,0.258961303462322,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MYPT2_HUMAN_1-982_b0.2/align/MYPT2_HUMAN_1-982_b0.2","ENSG00000214114","MYCBP","Q99417","MYCBP_HUMAN",103,"Homo sapiens (Human)",0.2,9831.6,95.452427184466,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MYCBP_HUMAN_1-103_b0.2/align/MYCBP_HUMAN_1-103_b0.2","sepmito_01042570",1,982,1,103,NA,"PF12796;PF15898;",NA,"O60237 Q99417",0,"Q99417 O60237",5.1,NA,NA,NA,"Complete"," "
"2592",878646,"ENSG00000128609","NDUFA5","Q16718","NDUA5_HUMAN",116,"Homo sapiens (Human)",0.3,490.2,4.22586206896552,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NDUA5_HUMAN_1-116_b0.3/align/NDUA5_HUMAN_1-116_b0.3","ENSG00000135297","MTO1","Q9Y2Z2","MTO1_HUMAN",717,"Homo sapiens (Human)",0.2,5635.9,7.86039051603905,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MTO1_HUMAN_1-717_b0.2/align/MTO1_HUMAN_1-717_b0.2","sepmito_00878646",1,116,1,717,NA,"PF04716;","PF01134;PF13932;","Q16718 Q9Y2Z2",0,"Q9Y2Z2 Q16718",6.1,NA,NA,NA,"Complete"," "
"4048",1225153,"ENSG00000184347","SLIT3","O75094","SLIT3_HUMAN",1523,"Homo sapiens (Human)",0.2,131.8,0.0865397242284964,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SLIT3_HUMAN_1-1523_b0.2/align/SLIT3_HUMAN_1-1523_b0.2","ENSG00000174173","TRMT10C","Q7L0Y3","TM10C_HUMAN",403,"Homo sapiens (Human)",0.2,1157.7,2.8727047146402,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/TM10C_HUMAN_1-403_b0.2/align/TM10C_HUMAN_1-403_b0.2","sepmito_01225153",1,1523,1,403,NA,"PF00008;PF12661;PF02210;PF13855;PF01463;PF01462;","PF01746;","O75094 Q7L0Y3",0,"Q7L0Y3 O75094",8.2,NA,NA,NA,"Complete"," "
"1502",253196,"ENSG00000115541","HSPE1","P61604","CH10_HUMAN",102,"Homo sapiens (Human)",0.2,5216.5,51.1421568627451,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CH10_HUMAN_1-102_b0.2/align/CH10_HUMAN_1-102_b0.2","ENSG00000177646","ACAD9","Q9H845","ACAD9_HUMAN",621,"Homo sapiens (Human)",0.2,48672.9,78.3782608695652,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ACAD9_HUMAN_1-621_b0.2/align/ACAD9_HUMAN_1-621_b0.2","sepmito_00253196",1,102,1,621,NA,"PF00166;","PF00441;PF02770;PF02771;","P61604 Q9H845",0,"Q9H845 P61604",7.2,NA,NA,NA,"Complete"," "
"722",68993,"ENSG00000063241","ISOC2","Q96AB3","ISOC2_HUMAN",205,"Homo sapiens (Human)",0.4,14719.1,71.800487804878,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ISOC2_HUMAN_1-205_b0.4/align/ISOC2_HUMAN_1-205_b0.4","ENSG00000156411","ATP5MPL","P56378","ATP68_HUMAN",58,"Homo sapiens (Human)",0.3,5038.7,86.8741379310345,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ATP68_HUMAN_1-58_b0.3/align/ATP68_HUMAN_1-58_b0.3","sepmito_00068993",1,205,1,58,NA,"PF00857;","PF08039;","Q96AB3 P56378",0,"P56378 Q96AB3",8.7,NA,NA,NA,"Complete"," "
"1786",918581,"ENSG00000054523","KIF1B","O60333","KIF1B_HUMAN",1816,"Homo sapiens (Human)",0.2,425.1,0.2340859030837,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/KIF1B_HUMAN_1-1816_b0.2/align/KIF1B_HUMAN_1-1816_b0.2","ENSG00000130255","RPL36","Q9Y3U8","RL36_HUMAN",105,"Homo sapiens (Human)",0.2,382.6,3.64380952380952,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RL36_HUMAN_1-105_b0.2/align/RL36_HUMAN_1-105_b0.2","sepmito_00918581",1,1816,1,105,NA,"PF12473;PF00498;PF12423;PF00225;PF16183;PF00169;","PF01158;","O60333 Q9Y3U8",0,"Q9Y3U8 O60333",2.3,NA,NA,NA,"Complete"," "
"1930",796696,"ENSG00000106346","USP42","Q9H9J4","UBP42_HUMAN",1324,"Homo sapiens (Human)",0.2,636.1,0.480438066465257,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/UBP42_HUMAN_1-1324_b0.2/align/UBP42_HUMAN_1-1324_b0.2","ENSG00000106436","MYL10","Q9BUA6","MYL10_HUMAN",226,"Homo sapiens (Human)",0.2,14933.1,66.0756637168142,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MYL10_HUMAN_1-226_b0.2/align/MYL10_HUMAN_1-226_b0.2","sepmito_00796696",1,1324,1,226,NA,"PF00443;","PF13833;","Q9H9J4 Q9BUA6",0,"Q9BUA6 Q9H9J4",6.1,NA,NA,NA,"Complete"," "
"617",824895,"ENSG00000241468","ATP5MF","P56134","ATPK_HUMAN",94,"Homo sapiens (Human)",0.2,573.4,6.1,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ATPK_HUMAN_1-94_b0.2/align/ATPK_HUMAN_1-94_b0.2","ENSG00000181019","NQO1","P15559","NQO1_HUMAN",274,"Homo sapiens (Human)",0.2,15267.9,55.7222627737226,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NQO1_HUMAN_1-274_b0.2/align/NQO1_HUMAN_1-274_b0.2","sepmito_00824895",1,94,1,274,NA,"PF10206;","PF02525;","P56134 P15559",0,"P15559 P56134",9.9,NA,NA,NA,"Complete"," "
"2409",977474,"ENSG00000164327","RICTOR","Q6R327","RICTR_HUMAN",1708,"Homo sapiens (Human)",0.2,336.7,0.197131147540984,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RICTR_HUMAN_1-1708_b0.2/align/RICTR_HUMAN_1-1708_b0.2","ENSG00000162241","SLC25A45","Q8N413","S2545_HUMAN",288,"Homo sapiens (Human)",0.2,17346.2,60.2298611111111,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/S2545_HUMAN_1-288_b0.2/align/S2545_HUMAN_1-288_b0.2","sepmito_00977474",1,1708,1,288,NA,"PF14663;PF14666;PF14664;PF14665;PF14668;","PF00153;","Q6R327 Q8N413",0,"Q8N413 Q6R327",5.7,NA,NA,NA,"Complete"," "
"2864",955432,"ENSG00000151366","NDUFC2","O95298","NDUC2_HUMAN",119,"Homo sapiens (Human)",0.2,367.5,3.08823529411765,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NDUC2_HUMAN_1-119_b0.2/align/NDUC2_HUMAN_1-119_b0.2","ENSG00000173208","ABCD2","Q9UBJ2","ABCD2_HUMAN",740,"Homo sapiens (Human)",0.3,2675.4,3.61540540540541,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ABCD2_HUMAN_1-740_b0.3/align/ABCD2_HUMAN_1-740_b0.3","sepmito_00955432",1,119,1,740,NA,"PF06374;","PF06472;PF00005;","O95298 Q9UBJ2",0,"Q9UBJ2 O95298",7.2,NA,NA,NA,"Complete"," "
"1046",705889,"ENSG00000168275","COA6","Q5JTJ3","COA6_HUMAN",125,"Homo sapiens (Human)",0.2,816,6.528,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/COA6_HUMAN_1-125_b0.2/align/COA6_HUMAN_1-125_b0.2","ENSG00000006530","AGK","Q53H12","AGK_HUMAN",422,"Homo sapiens (Human)",0.2,14798.3,35.0670616113744,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/AGK_HUMAN_1-422_b0.2/align/AGK_HUMAN_1-422_b0.2","sepmito_00705889",1,125,1,422,NA,"PF02297;","PF00781;","Q5JTJ3 Q53H12",0,"Q53H12 Q5JTJ3",9.5,NA,NA,NA,"Complete"," "
"1724",855888,"ENSG00000137074","APTX","Q7Z2E3","APTX_HUMAN",356,"Homo sapiens (Human)",0.2,520.5,1.46207865168539,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/APTX_HUMAN_1-356_b0.2/align/APTX_HUMAN_1-356_b0.2","ENSG00000173915","ATP5MD","Q96IX5","ATPMD_HUMAN",58,"Homo sapiens (Human)",0.3,1082.8,18.6689655172414,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ATPMD_HUMAN_1-58_b0.3/align/ATPMD_HUMAN_1-58_b0.3","sepmito_00855888",1,356,1,58,NA,"PF17913;PF16278;","PF14960;","Q7Z2E3 Q96IX5",0,"Q96IX5 Q7Z2E3",6.2,NA,NA,NA,"Complete"," "
"2853",243230,"ENSG00000239789","MRPS17","Q9Y2R5","RT17_HUMAN",130,"Homo sapiens (Human)",0.2,5510.4,42.3876923076923,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RT17_HUMAN_1-130_b0.2/align/RT17_HUMAN_1-130_b0.2","ENSG00000162769","FLVCR1","Q9Y5Y0","FLVC1_HUMAN",555,"Homo sapiens (Human)",0.2,44918.1,80.9335135135135,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/FLVC1_HUMAN_1-555_b0.2/align/FLVC1_HUMAN_1-555_b0.2","sepmito_00243230",1,130,1,555,NA,"PF00366;","PF07690;","Q9Y2R5 Q9Y5Y0",0,"Q9Y5Y0 Q9Y2R5",7.4,NA,NA,NA,"Complete"," "
"1699",1230380,"ENSG00000154237","LRRK1","Q38SD2","LRRK1_HUMAN",2015,"Homo sapiens (Human)",0.3,129.9,0.0644665012406948,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/LRRK1_HUMAN_1-2015_b0.3/align/LRRK1_HUMAN_1-2015_b0.3","ENSG00000143575","HAX1","O00165","HAX1_HUMAN",279,"Homo sapiens (Human)",0.2,98.9,0.354480286738351,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/HAX1_HUMAN_1-279_b0.2/align/HAX1_HUMAN_1-279_b0.2","sepmito_01230380",1,2015,1,279,NA,"PF16095;PF00069;",NA,"Q38SD2 O00165",0,"O00165 Q38SD2",6,NA,NA,NA,"Complete"," "
"3256",871486,"ENSG00000118246","FASTKD2","Q9NYY8","FAKD2_HUMAN",710,"Homo sapiens (Human)",0.2,494.8,0.696901408450704,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/FAKD2_HUMAN_1-710_b0.2/align/FAKD2_HUMAN_1-710_b0.2","ENSG00000182362","YBEY","P58557","YBEY_HUMAN",167,"Homo sapiens (Human)",0.3,10681.8,63.962874251497,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/YBEY_HUMAN_1-167_b0.3/align/YBEY_HUMAN_1-167_b0.3","sepmito_00871486",1,710,1,167,NA,"PF06743;PF08368;PF08373;","PF02130;","Q9NYY8 P58557",0,"P58557 Q9NYY8",7.9,NA,NA,NA,"Complete"," "
"3475",757854,"ENSG00000163206","SMCP","P49901","MCSP_HUMAN",116,"Homo sapiens (Human)",0.2,709.9,6.1198275862069,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MCSP_HUMAN_1-116_b0.2/align/MCSP_HUMAN_1-116_b0.2","ENSG00000105793","GTPBP10","A4D1E9","GTPBA_HUMAN",387,"Homo sapiens (Human)",0.2,14517.9,37.5139534883721,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/GTPBA_HUMAN_1-387_b0.2/align/GTPBA_HUMAN_1-387_b0.2","sepmito_00757854",1,116,1,387,NA,NA,"PF01018;PF01926;","P49901 A4D1E9",0,"A4D1E9 P49901",8.5,NA,NA,NA,"Complete"," "
"2401",563279,"ENSG00000022267","FHL1","Q13642","FHL1_HUMAN",323,"Homo sapiens (Human)",0.2,1373,4.25077399380805,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/FHL1_HUMAN_1-323_b0.2/align/FHL1_HUMAN_1-323_b0.2","ENSG00000173915","ATP5MD","Q96IX5","ATPMD_HUMAN",58,"Homo sapiens (Human)",0.3,1082.8,18.6689655172414,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ATPMD_HUMAN_1-58_b0.3/align/ATPMD_HUMAN_1-58_b0.3","sepmito_00563279",1,323,1,58,NA,"PF00412;","PF14960;","Q13642 Q96IX5",0,"Q96IX5 Q13642",7.1,NA,NA,NA,"Complete"," "
"1860",1391304,"ENSG00000110888","CAPRIN2","Q6IMN6","CAPR2_HUMAN",1127,"Homo sapiens (Human)",0.5,22.2,0.019698314108252,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CAPR2_HUMAN_1-1127_b0.5/align/CAPR2_HUMAN_1-1127_b0.5","ENSG00000132906","CASP9","P55211","CASP9_HUMAN",416,"Homo sapiens (Human)",0.2,2240.7,5.38629807692308,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CASP9_HUMAN_1-416.0_b0.2/align/CASP9_HUMAN_1-416.0_b0.2","sepmito_01391304",1,1127,1,416,NA,"PF00386;PF12287;PF18293;","PF00619;","Q6IMN6 P55211",0,"P55211 Q6IMN6",9.8,NA,NA,NA,"Complete"," "
"558",1105749,"ENSG00000112992","NNT","Q13423","NNTM_HUMAN",1086,"Homo sapiens (Human)",0.4,210,0.193370165745856,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NNTM_HUMAN_1-1086_b0.4/align/NNTM_HUMAN_1-1086_b0.4","ENSG00000166902","MRPL16","Q9NX20","RM16_HUMAN",251,"Homo sapiens (Human)",0.2,2546.6,10.1458167330677,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RM16_HUMAN_1-251_b0.2/align/RM16_HUMAN_1-251_b0.2","sepmito_01105749",1,1086,1,251,NA,"PF01262;PF05222;PF02233;PF12769;","PF00252;","Q13423 Q9NX20",0,"Q9NX20 Q13423",7.9,NA,NA,NA,"Complete"," "
